host_timestamp_utc,label,profile,component,event,index,pan_deg,distance_mm,intensity,servo_deg,ts_us
2026-04-25T18:43:16.986+00:00,calibracion_angulos,precision,measurement,point,5715,307.5,50,27,0.0,2879353
2026-04-25T18:43:16.987+00:00,calibracion_angulos,precision,measurement,point,5716,308.2,50,24,0.0,2880021
2026-04-25T18:43:16.989+00:00,calibracion_angulos,precision,measurement,point,5717,308.9,51,22,0.0,2880486
2026-04-25T18:43:16.996+00:00,calibracion_angulos,precision,measurement,point,5718,309.6,52,17,0.0,2880949
2026-04-25T18:43:16.998+00:00,calibracion_angulos,precision,measurement,point,5719,311.1,839,54,0.0,2881478
2026-04-25T18:43:17.000+00:00,calibracion_angulos,precision,measurement,point,5720,311.8,828,76,0.0,2881904
2026-04-25T18:43:17.002+00:00,calibracion_angulos,precision,measurement,point,5721,312.5,823,85,0.0,2882478
2026-04-25T18:43:17.003+00:00,calibracion_angulos,precision,measurement,point,5722,313.2,822,71,0.0,2882892
2026-04-25T18:43:17.004+00:00,calibracion_angulos,precision,measurement,point,5723,315.3,188,32,0.0,2883494
2026-04-25T18:43:17.005+00:00,calibracion_angulos,precision,measurement,point,5724,316.0,189,32,0.0,2883898
2026-04-25T18:43:17.006+00:00,calibracion_angulos,precision,measurement,point,5725,316.7,191,35,0.0,2884646
2026-04-25T18:43:17.007+00:00,calibracion_angulos,precision,measurement,point,5726,317.5,192,36,0.0,2885069
2026-04-25T18:43:17.008+00:00,calibracion_angulos,precision,measurement,point,5727,318.2,192,35,0.0,2885524
2026-04-25T18:43:17.009+00:00,calibracion_angulos,precision,measurement,point,5728,319.0,193,35,0.0,2885917
2026-04-25T18:43:17.010+00:00,calibracion_angulos,precision,measurement,point,5729,319.7,194,35,0.0,2886523
2026-04-25T18:43:17.011+00:00,calibracion_angulos,precision,measurement,point,5730,321.2,1004,38,0.0,2886928
2026-04-25T18:43:17.012+00:00,calibracion_angulos,precision,measurement,point,5731,322.0,972,87,0.0,2887513
2026-04-25T18:43:17.013+00:00,calibracion_angulos,precision,measurement,point,5732,322.7,872,96,0.0,2887926
2026-04-25T18:43:17.014+00:00,calibracion_angulos,precision,measurement,point,5733,323.5,860,155,0.0,2888492
2026-04-25T18:43:17.015+00:00,calibracion_angulos,precision,measurement,point,5734,324.2,859,187,0.0,2888924
2026-04-25T18:43:17.016+00:00,calibracion_angulos,precision,measurement,point,5735,325.0,859,187,0.0,2889472
2026-04-25T18:43:17.017+00:00,calibracion_angulos,precision,measurement,point,5736,325.7,866,186,0.0,2890121
2026-04-25T18:43:17.018+00:00,calibracion_angulos,precision,measurement,point,5737,326.4,873,182,0.0,2890546
2026-04-25T18:43:17.019+00:00,calibracion_angulos,precision,measurement,point,5738,327.1,881,177,0.0,2890981
2026-04-25T18:43:17.020+00:00,calibracion_angulos,precision,measurement,point,5739,327.8,892,171,0.0,2891491
2026-04-25T18:43:17.021+00:00,calibracion_angulos,precision,measurement,point,5740,328.5,1186,130,0.0,2891897
2026-04-25T18:43:17.022+00:00,calibracion_angulos,precision,measurement,point,5741,329.3,1202,159,0.0,2892447
2026-04-25T18:43:17.023+00:00,calibracion_angulos,precision,measurement,point,5742,330.0,1201,170,0.0,2892855
2026-04-25T18:43:17.024+00:00,calibracion_angulos,precision,measurement,point,5743,330.7,1192,171,0.0,2893458
2026-04-25T18:43:17.025+00:00,calibracion_angulos,precision,measurement,point,5744,331.4,1183,176,0.0,2893862
2026-04-25T18:43:17.026+00:00,calibracion_angulos,precision,measurement,point,5745,332.2,1175,178,0.0,2894447
2026-04-25T18:43:17.027+00:00,calibracion_angulos,precision,measurement,point,5746,332.9,1168,182,0.0,2894864
2026-04-25T18:43:17.029+00:00,calibracion_angulos,precision,measurement,point,5747,333.6,1161,185,0.0,2895421
2026-04-25T18:43:17.030+00:00,calibracion_angulos,precision,measurement,point,5748,334.3,1154,188,0.0,2896051
2026-04-25T18:43:17.030+00:00,calibracion_angulos,precision,measurement,point,5749,335.0,1147,190,0.0,2896460
2026-04-25T18:43:17.031+00:00,calibracion_angulos,precision,measurement,point,5750,335.7,1141,191,0.0,2896893
2026-04-25T18:43:17.032+00:00,calibracion_angulos,precision,measurement,point,5751,336.5,1135,191,0.0,2897431
2026-04-25T18:43:17.033+00:00,calibracion_angulos,precision,measurement,point,5752,337.2,1129,190,0.0,2897825
2026-04-25T18:43:17.034+00:00,calibracion_angulos,precision,measurement,point,5753,337.9,1124,191,0.0,2898175
2026-04-25T18:43:17.035+00:00,calibracion_angulos,precision,measurement,point,5754,338.6,1119,191,0.0,2898661
2026-04-25T18:43:17.036+00:00,calibracion_angulos,precision,measurement,point,5755,339.3,1113,192,0.0,2899074
2026-04-25T18:43:17.037+00:00,calibracion_angulos,precision,measurement,point,5756,340.0,1107,192,0.0,2899523
2026-04-25T18:43:17.038+00:00,calibracion_angulos,precision,measurement,point,5757,340.8,1101,193,0.0,2899932
2026-04-25T18:43:17.040+00:00,calibracion_angulos,precision,measurement,point,5758,341.5,1096,195,0.0,2900473
2026-04-25T18:43:17.041+00:00,calibracion_angulos,precision,measurement,point,5759,342.2,1091,196,0.0,2900908
2026-04-25T18:43:17.042+00:00,calibracion_angulos,precision,measurement,point,5760,342.9,1089,196,0.0,2901694
2026-04-25T18:43:17.043+00:00,calibracion_angulos,precision,measurement,point,5761,343.6,1085,196,0.0,2902128
2026-04-25T18:43:17.044+00:00,calibracion_angulos,precision,measurement,point,5762,344.3,1081,196,0.0,2902555
2026-04-25T18:43:17.045+00:00,calibracion_angulos,precision,measurement,point,5763,345.0,1077,196,0.0,2902994
2026-04-25T18:43:17.046+00:00,calibracion_angulos,precision,measurement,point,5764,345.7,1073,197,0.0,2903497
2026-04-25T18:43:17.047+00:00,calibracion_angulos,precision,measurement,point,5765,346.4,1070,199,0.0,2903901
2026-04-25T18:43:17.048+00:00,calibracion_angulos,precision,measurement,point,5766,347.1,1066,201,0.0,2904447
