timestamp,duration_s,last_unit_type,sensor_units,sensor_bytes,estimated_ws_frame_bytes,throughput_bytes_s,estimated_ws_throughput_bytes_s,mean_bytes_unit,text_units,text_bytes,binary_units,binary_bytes,points_parsed,points_processed,parse_failures,redis_failures,broadcast_failures,web_units,web_bytes
2026-04-25T22:56:31.122800,0.036,binary,1,2038,2046,56670.765,56893.222,2038.000,0,0,1,2038,406,406,0,0,0,0,0
2026-04-25T22:56:31.137332,0.051,binary,2,2896,2912,56876.179,57190.412,1448.000,0,0,2,2896,576,576,0,0,0,0,0
2026-04-25T22:56:31.157114,0.070,binary,3,4209,4233,59899.518,60241.069,1403.000,0,0,3,4209,837,837,0,0,0,0,0
2026-04-25T22:56:31.197225,0.111,binary,4,5467,5499,49310.796,49599.427,1366.750,0,0,4,5467,1087,1087,0,0,0,0,0
2026-04-25T22:56:31.243332,0.157,binary,5,6615,6655,42176.653,42431.690,1323.000,0,0,5,6615,1315,1315,0,0,0,0,0
2026-04-25T22:56:31.272740,0.185,binary,6,7733,7781,41690.407,41949.186,1288.833,0,0,6,7733,1537,1537,0,0,0,0,0
2026-04-25T22:56:31.286683,0.200,binary,7,8521,8577,42568.250,42848.009,1217.286,0,0,7,8521,1693,1693,0,0,0,0,0
2026-04-25T22:56:31.313445,0.227,binary,8,9069,9133,39965.352,40247.388,1133.625,0,0,8,9069,1801,1801,0,0,0,0,0
2026-04-25T22:56:31.323564,0.237,binary,9,9607,9679,40512.229,40815.850,1067.444,0,0,9,9607,1907,1907,0,0,0,0,0
2026-04-25T22:56:31.354954,0.269,binary,10,9780,9860,36423.275,36721.216,978.000,0,0,10,9780,1940,1940,0,0,0,0,0
2026-04-25T22:56:31.364788,0.278,binary,11,10328,10416,37216.559,37533.663,938.909,0,0,11,10328,2048,2048,0,0,0,0,0
2026-04-25T22:56:31.373804,0.288,binary,12,10876,10972,37824.841,38158.713,906.333,0,0,12,10876,2156,2156,0,0,0,0,0
