timestamp,duration_s,last_unit_type,sensor_units,sensor_bytes,estimated_ws_frame_bytes,throughput_bytes_s,estimated_ws_throughput_bytes_s,mean_bytes_unit,text_units,text_bytes,binary_units,binary_bytes,points_parsed,points_processed,parse_failures,redis_failures,broadcast_failures,web_units,web_bytes
2026-04-25T23:48:08.671108,0.014,text,1,438,446,30221.013,30772.995,438.000,1,438,0,0,12,12,0,0,0,0,0
2026-04-25T23:48:08.696969,0.041,text,2,871,887,21402.770,21795.932,435.500,2,871,0,0,24,24,0,0,0,0,0
2026-04-25T23:48:08.703262,0.045,text,3,1311,1335,28814.369,29341.864,437.000,3,1311,0,0,36,36,0,0,0,0,0
2026-04-25T23:48:08.736692,0.080,text,4,1751,1783,21905.212,22305.536,437.750,4,1751,0,0,48,48,0,0,0,0,0
2026-04-25T23:48:08.741439,0.084,text,5,2191,2231,26215.223,26693.821,438.200,5,2191,0,0,60,60,0,0,0,0,0
2026-04-25T23:48:08.772253,0.116,text,6,2631,2679,22759.072,23174.288,438.500,6,2631,0,0,72,72,0,0,0,0,0
2026-04-25T23:48:08.777431,0.119,text,7,3071,3127,25864.563,26336.206,438.714,7,3071,0,0,84,84,0,0,0,0,0
2026-04-25T23:48:08.817443,0.161,text,8,3491,3555,21638.495,22035.191,436.375,8,3491,0,0,96,96,0,0,0,0,0
2026-04-25T23:48:08.826255,0.164,text,9,3909,3981,23843.091,24282.257,434.333,9,3909,0,0,108,108,0,0,0,0,0
2026-04-25T23:48:08.859133,0.202,text,10,4345,4425,21498.899,21894.736,434.500,10,4345,0,0,120,120,0,0,0,0,0
2026-04-25T23:48:08.869056,0.207,text,11,4785,4873,23110.563,23535.585,435.000,11,4785,0,0,132,132,0,0,0,0,0
2026-04-25T23:48:08.896798,0.240,text,12,5225,5321,21740.402,22139.843,435.417,12,5225,0,0,144,144,0,0,0,0,0
2026-04-25T23:48:08.903058,0.244,text,13,5665,5769,23263.863,23690.948,435.769,13,5665,0,0,156,156,0,0,0,0,0
2026-04-25T23:48:08.948637,0.282,text,14,6105,6217,21672.018,22069.604,436.071,14,6105,0,0,168,168,0,0,0,0,0
2026-04-25T23:48:08.963290,0.305,text,15,6532,6652,21437.436,21831.266,435.467,15,6532,0,0,180,180,0,0,0,0,0
2026-04-25T23:48:08.974519,0.318,text,16,6969,7097,21916.749,22319.295,435.562,16,6969,0,0,192,192,0,0,0,0,0
2026-04-25T23:48:08.990164,0.321,text,17,7409,7545,23062.730,23486.070,435.824,17,7409,0,0,204,204,0,0,0,0,0
